 INFO  Accepting connections at http://localhost:3001
 HTTP  9/1/2025 9:43:43 am ::1 GET /
 HTTP  9/1/2025 9:43:43 am ::1 Returned 200 in 36 ms
 HTTP  9/1/2025 9:43:43 am ::1 GET /assets/index-BqrB_hEW.css
 HTTP  9/1/2025 9:43:43 am ::1 GET /assets/index-DCKh21MR.js
 HTTP  9/1/2025 9:43:43 am ::1 Returned 304 in 9 ms
 HTTP  9/1/2025 9:43:43 am ::1 Returned 304 in 14 ms
 HTTP  9/1/2025 9:43:43 am ::1 GET /src/assets/tlogo.png
 HTTP  9/1/2025 9:43:43 am ::1 Returned 200 in 2 ms
 HTTP  9/1/2025 9:43:43 am ::1 GET /assets/tlogo-Dvu2jjwY.png
 HTTP  9/1/2025 9:43:43 am ::1 Returned 304 in 7 ms
 HTTP  9/1/2025 9:44:13 am ::1 GET /
 HTTP  9/1/2025 9:44:13 am ::1 Returned 304 in 2 ms
 HTTP  9/1/2025 9:44:13 am ::1 GET /assets/index-DCKh21MR.js
 HTTP  9/1/2025 9:44:13 am ::1 Returned 304 in 2 ms
 HTTP  9/1/2025 9:44:13 am ::1 GET /assets/index-BqrB_hEW.css
 HTTP  9/1/2025 9:44:13 am ::1 Returned 304 in 2 ms
 HTTP  9/1/2025 9:44:13 am ::1 GET /src/assets/tlogo.png
 HTTP  9/1/2025 9:44:13 am ::1 Returned 304 in 2 ms
 HTTP  9/1/2025 9:44:13 am ::1 GET /assets/tlogo-Dvu2jjwY.png
 HTTP  9/1/2025 9:44:13 am ::1 Returned 304 in 6 ms
 HTTP  9/1/2025 9:44:14 am ::1 GET /
 HTTP  9/1/2025 9:44:14 am ::1 Returned 304 in 1 ms
 HTTP  9/1/2025 9:44:14 am ::1 GET /assets/index-DCKh21MR.js
 HTTP  9/1/2025 9:44:14 am ::1 Returned 304 in 2 ms
 HTTP  9/1/2025 9:44:14 am ::1 GET /assets/index-BqrB_hEW.css
 HTTP  9/1/2025 9:44:14 am ::1 Returned 304 in 1 ms
 HTTP  9/1/2025 9:44:14 am ::1 GET /src/assets/tlogo.png
 HTTP  9/1/2025 9:44:14 am ::1 GET /assets/tlogo-Dvu2jjwY.png
 HTTP  9/1/2025 9:44:14 am ::1 Returned 304 in 1 ms
 HTTP  9/1/2025 9:44:14 am ::1 Returned 304 in 3 ms
